Category,CommunityName,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
,,,,,,,,,,,,,
Assault (Non-domestic),ABBEYDALE,1,1,1,3,2,1,2,1,1,1,1,1
Assault (Non-domestic),ACADIA,7,1,1,5,6,6,1,4,3,3,7,4
Assault (Non-domestic),ALBERT PARK/RADISSON HEIGHTS,1,2,7,5,7,7,3,8,4,2,8,3
Assault (Non-domestic),ALPINE PARK,,,,,,,,,,,,
Assault (Non-domestic),ALTADORE,1,2,1,1,1,2,1,,2,1,1,
Assault (Non-domestic),ALYTH/BONNYBROOK,,1,,2,,,2,2,,,,
Assault (Non-domestic),AMBLETON,,,,,,,,,,1,,
Assault (Non-domestic),APPLEWOOD PARK,1,1,2,1,1,2,1,1,2,2,1,2
Assault (Non-domestic),ARBOUR LAKE,4,4,3,1,7,4,2,1,4,5,2,7
Assault (Non-domestic),ASPEN WOODS,,,,,,,,,,,,
Assault (Non-domestic),AUBURN BAY,2,1,1,,1,5,2,2,2,,,1
Assault (Non-domestic),AURORA BUSINESS PARK,,,,,,,,,1,,,
Assault (Non-domestic),BANFF TRAIL,2,1,2,2,2,2,,1,2,2,1,4
Assault (Non-domestic),BANKVIEW,5,1,,,2,,3,,2,3,2,
Assault (Non-domestic),BAYVIEW,,,,,,1,,2,,1,,1
Assault (Non-domestic),BEDDINGTON HEIGHTS,,1,1,3,1,9,2,2,3,3,5,
Assault (Non-domestic),BEL-AIRE,,,,,,,,,,,,
Assault (Non-domestic),BELMONT,,,,,,,,,,,,
Assault (Non-domestic),BELTLINE,19,26,29,28,27,39,40,35,32,21,27,37
Assault (Non-domestic),BELVEDERE,2,,,2,2,1,1,2,,,,
Assault (Non-domestic),BONAVISTA DOWNS,,,,,,,,,,,,
Assault (Non-domestic),BOWNESS,4,6,4,3,9,9,7,6,6,7,5,4
Assault (Non-domestic),BRAESIDE,,1,1,1,1,1,2,2,,1,,2
Assault (Non-domestic),BRENTWOOD,4,6,5,2,3,3,2,1,1,1,4,1
Assault (Non-domestic),BRIDGELAND/RIVERSIDE,2,1,2,3,5,6,4,6,4,2,4,
Assault (Non-domestic),BRIDLEWOOD,1,,1,3,3,1,1,,4,2,,1
Assault (Non-domestic),BRITANNIA,,,,,,,,,,,,
Assault (Non-domestic),BURNS INDUSTRIAL,,,,,1,1,,,,,1,
Assault (Non-domestic),CALGARY INTERNATIONAL AIRPORT,,1,2,2,2,3,2,4,1,3,2,3
Assault (Non-domestic),CAMBRIAN HEIGHTS,,,1,,,,1,,,,,
Assault (Non-domestic),CANADA OLYMPIC PARK,,,,,,,,1,,,,
Assault (Non-domestic),CANYON MEADOWS,3,,3,1,2,2,,,2,1,,
Assault (Non-domestic),CAPITOL HILL,2,2,1,3,1,,1,1,,,3,
Assault (Non-domestic),CARRINGTON,,,,,,,,,1,,,
Assault (Non-domestic),CASTLERIDGE,,1,,3,1,1,,1,1,2,,
Assault (Non-domestic),CEDARBRAE,3,2,,,1,1,2,1,,1,1,
Assault (Non-domestic),CHAPARRAL,,,,1,1,1,,3,,1,3,
Assault (Non-domestic),CHARLESWOOD,1,,1,,,,,,1,1,,1
Assault (Non-domestic),CHINATOWN,,,,1,,,1,1,,,1,
Assault (Non-domestic),CHINOOK PARK,,,,,,,1,,,,,
Assault (Non-domestic),CHRISTIE PARK,,1,,,,,1,1,1,,,
Assault (Non-domestic),CITADEL,,,1,,,,,1,,1,,1
Assault (Non-domestic),CITYSCAPE,,1,,,1,1,1,1,,1,,
Assault (Non-domestic),CLIFF BUNGALOW,2,1,1,1,1,2,3,2,3,3,2,
Assault (Non-domestic),COACH HILL,,,,,,,,,1,,,
Assault (Non-domestic),COLLINGWOOD,,,,,,1,1,,1,,,2
Assault (Non-domestic),COPPERFIELD,,1,4,1,2,1,1,,,,,1
Assault (Non-domestic),CORAL SPRINGS,,,1,,1,,,1,,,,
Assault (Non-domestic),CORNERSTONE,,,,,1,1,,,1,1,,
Assault (Non-domestic),COUGAR RIDGE,,,,,,,,,,,,
Assault (Non-domestic),COUNTRY HILLS,1,,,,,,,,,,,1
Assault (Non-domestic),COUNTRY HILLS VILLAGE,2,1,1,,1,2,1,,1,3,1,
Assault (Non-domestic),COVENTRY HILLS,1,1,2,2,,3,,,1,1,,1
Assault (Non-domestic),CRANSTON,1,3,,3,,,,3,,1,,
Assault (Non-domestic),CRESCENT HEIGHTS,6,2,7,9,6,6,3,2,3,8,5,2
Assault (Non-domestic),CRESTMONT,,,,,,1,,2,,,,
